trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
test-p00-ascending-s0,sao,test,0,ascending,0,0.05521472392638037,0.4738372093023256,0.02,0.17523059248924255,0.39093369245529175,0.06,0,-1,-1,0.0,3.3578271865844727,6.047781467437744
test-p00-ascending-s0,early,test,0,ascending,0,0.0851063829787234,0.5465116279069767,0.028985507246376812,0.18667136132717133,0.4032544195652008,0.0,15,0,14,0.05000000000000002,3.184121608734131,6.053064346313477
test-p00-ascending-s0,mid,test,0,ascending,0,0.72,0.7994186046511628,0.6410256410256411,0.6307488083839417,0.5048633813858032,0.2948717948717949,15,18,32,0.05000000000000002,3.1682138442993164,6.058801651000977
test-p00-ascending-s0,late,test,0,ascending,0,0.329608938547486,0.5203488372093024,0.125,0.4704448878765106,0.43279609084129333,0.275,15,35,49,0.05000000000000002,3.2755699157714844,6.047327041625977
test-p00-ascending-s0,uniform,test,0,ascending,0,0.21844660194174756,0.5988372093023255,0.21739130434782608,0.2982896566390991,0.4498448371887207,0.0,15,0,49,0.05000000000000002,3.17883563041687,6.053064346313477
test-p00-ascending-s0,mlsp,test,0,ascending,0,0.3407821229050279,0.5203488372093024,0.2962962962962963,0.5061421990394592,0.44173330068588257,0.2777777777777778,15,20,48,0.05000000000000002,3.173335313796997,6.052576065063477
test-p00-ascending-s0,rapg_cal_f1,test,0,ascending,0,0.32954545454545453,0.5116279069767442,0.125,0.46682560443878174,0.43684619665145874,0.275,15,35,49,0.04942070119003308,3.1810379028320312,6.058801651000977
test-p00-ascending-s0,rapg_cal_dc,test,0,ascending,0,0.8338983050847457,0.8575581395348837,0.7875,0.793451726436615,0.4777683913707733,0.25,15,19,33,0.05523966484372164,3.183668375015259,6.064538955688477
test-p00-ascending-s0,rapg_on,test,0,ascending,0,0.41232227488151657,0.6133720930232558,0.36231884057971014,0.45343971252441406,0.44292742013931274,0.4057971014492754,15,2,36,0.03993703507713602,3.1753549575805664,6.058313369750977
test-p00-ascending-s0,topk_dc_const,test,0,ascending,0,0.759075907590759,0.8808139534883721,0.7108433734939759,0.6918051242828369,0.5030732154846191,0.24096385542168675,15,19,33,0.05000000000000002,3.1727020740509033,6.064050674438477
test-p00-descending-s0,sao,test,0,descending,0,0.03680981595092025,0.4738372093023256,0.08,0.2000434398651123,0.39093369245529175,0.06,0,-1,-1,0.0,3.1459150314331055,6.070276260375977
test-p00-descending-s0,early,test,0,descending,0,0.0,0.5465116279069767,0.043478260869565216,0.22657249867916107,0.40651214122772217,0.014492753623188406,15,0,14,0.05000000000000002,3.1829299926757812,6.064538955688477
test-p00-descending-s0,mid,test,0,descending,0,0.5680473372781065,0.49127906976744184,0.46551724137931033,0.5929755568504333,0.48297253251075745,0.25862068965517243,15,18,32,0.05000000000000002,3.190136194229126,6.069787979125977
test-p00-descending-s0,late,test,0,descending,0,0.48,0.5813953488372093,0.2619047619047619,0.5419069528579712,0.4097074270248413,0.19047619047619047,15,35,49,0.05000000000000002,3.1989519596099854,6.076013565063477
test-p00-descending-s0,uniform,test,0,descending,0,0.3225806451612903,0.36046511627906974,0.21739130434782608,0.49473798274993896,0.432245671749115,0.4782608695652174,15,0,49,0.05000000000000002,3.2016749382019043,6.081750869750977
test-p00-descending-s0,mlsp,test,0,descending,0,0.5023696682464455,0.6133720930232558,0.42857142857142855,0.611790657043457,0.4604896903038025,0.5178571428571429,15,20,48,0.05000000000000002,3.192033052444458,6.069787979125977
test-p00-descending-s0,rapg_cal_f1,test,0,descending,0,0.4517766497461929,0.5726744186046512,0.23255813953488372,0.5360270738601685,0.4220711588859558,0.16279069767441862,15,35,49,0.04721235689539016,3.1935698986053467,6.075525283813477
test-p00-descending-s0,rapg_cal_dc,test,0,descending,0,0.5617283950617284,0.47093023255813954,0.42028985507246375,0.6173028349876404,0.4683956503868103,0.18840579710144928,15,19,33,0.055137744105526285,3.1947319507598877,6.081750869750977
test-p00-descending-s0,rapg_on,test,0,descending,0,0.3522012578616352,0.4622093023255814,0.3,0.563537061214447,0.4321344494819641,0.3,15,2,39,0.04141519076471735,3.218275308609009,6.076013565063477
test-p00-descending-s0,topk_dc_const,test,0,descending,0,0.5569620253164557,0.45930232558139533,0.4126984126984127,0.6164286732673645,0.46884843707084656,0.23809523809523808,15,19,33,0.05000000000000002,3.2328028678894043,6.081262588500977
