method,K,trial,melody,coherence_mlsp,chroma_cos,clap,n_updates
uniform,5,test-p00-ascending-s0,ascending,0.1323529411764706,0.21655124425888062,,5
late,5,test-p00-ascending-s0,ascending,0.06417112299465241,0.25177159905433655,,5
rapg_cal_dc,5,test-p00-ascending-s0,ascending,0.0855614973262032,0.19640128314495087,,5
uniform,5,test-p00-descending-s0,descending,0.0,0.24528853595256805,,5
late,5,test-p00-descending-s0,descending,0.0958904109589041,0.31215792894363403,,5
rapg_cal_dc,5,test-p00-descending-s0,descending,0.03278688524590164,0.2120063751935959,,5
uniform,5,test-p00-alternating-s0,alternating,0.0707070707070707,0.27101895213127136,,5
late,5,test-p00-alternating-s0,alternating,0.13855421686746988,0.3085179924964905,,5
rapg_cal_dc,5,test-p00-alternating-s0,alternating,0.045454545454545456,0.23894116282463074,,5
uniform,5,test-p00-pedal-s0,pedal,0.21559633027522937,0.33931151032447815,,5
late,5,test-p00-pedal-s0,pedal,0.1875,0.40141868591308594,,5
rapg_cal_dc,5,test-p00-pedal-s0,pedal,0.5071428571428571,0.5588200092315674,,5
uniform,5,test-p00-zigzag-s0,zigzag,0.3201754385964912,0.3075821101665497,,5
late,5,test-p00-zigzag-s0,zigzag,0.3565217391304348,0.34904441237449646,,5
rapg_cal_dc,5,test-p00-zigzag-s0,zigzag,0.2903225806451613,0.2995888888835907,,5
uniform,5,test-p01-ascending-s0,ascending,0.21160409556313994,0.34637561440467834,,5
late,5,test-p01-ascending-s0,ascending,0.2391304347826087,0.3511192500591278,,5
rapg_cal_dc,5,test-p01-ascending-s0,ascending,0.2140468227424749,0.34938862919807434,,5
uniform,5,test-p01-descending-s0,descending,0.2379421221864952,0.3701108694076538,,5
late,5,test-p01-descending-s0,descending,0.2968197879858657,0.3738146424293518,,5
rapg_cal_dc,5,test-p01-descending-s0,descending,0.30491803278688523,0.378665566444397,,5
uniform,5,test-p01-alternating-s0,alternating,0.30943396226415093,0.48617222905158997,,5
late,5,test-p01-alternating-s0,alternating,0.3404255319148936,0.49587976932525635,,5
rapg_cal_dc,5,test-p01-alternating-s0,alternating,0.22957198443579765,0.4756219983100891,,5
uniform,5,test-p01-pedal-s0,pedal,0.3525423728813559,0.5292873978614807,,5
late,5,test-p01-pedal-s0,pedal,0.4019933554817276,0.5486168265342712,,5
rapg_cal_dc,5,test-p01-pedal-s0,pedal,0.3771626297577855,0.5227410793304443,,5
uniform,5,test-p01-zigzag-s0,zigzag,0.2138364779874214,0.3523704707622528,,5
late,5,test-p01-zigzag-s0,zigzag,0.18815331010452963,0.3611918091773987,,5
rapg_cal_dc,5,test-p01-zigzag-s0,zigzag,0.17142857142857143,0.35017773509025574,,5
uniform,5,test-p02-ascending-s0,ascending,0.21453287197231835,0.3091210126876831,,5
late,5,test-p02-ascending-s0,ascending,0.3473684210526316,0.3332885801792145,,5
rapg_cal_dc,5,test-p02-ascending-s0,ascending,0.1976284584980237,0.29228848218917847,,5
uniform,5,test-p02-descending-s0,descending,0.13524590163934427,0.3326331079006195,,5
late,5,test-p02-descending-s0,descending,0.008438818565400843,0.3704794943332672,,5
rapg_cal_dc,5,test-p02-descending-s0,descending,0.21428571428571427,0.33666449785232544,,5
uniform,5,test-p02-alternating-s0,alternating,0.05,0.3111429214477539,,5
late,5,test-p02-alternating-s0,alternating,0.04405286343612335,0.3187542259693146,,5
rapg_cal_dc,5,test-p02-alternating-s0,alternating,0.12935323383084577,0.3069537281990051,,5
uniform,5,test-p02-pedal-s0,pedal,0.0759493670886076,0.3258797526359558,,5
late,5,test-p02-pedal-s0,pedal,0.0,0.3252258598804474,,5
rapg_cal_dc,5,test-p02-pedal-s0,pedal,0.16791044776119404,0.32686150074005127,,5
uniform,5,test-p02-zigzag-s0,zigzag,0.11654135338345864,0.3308572471141815,,5
late,5,test-p02-zigzag-s0,zigzag,0.1443661971830986,0.339452862739563,,5
rapg_cal_dc,5,test-p02-zigzag-s0,zigzag,0.15246636771300448,0.3446517884731293,,5
uniform,5,test-p03-ascending-s0,ascending,0.20408163265306123,0.2810309827327728,,5
late,5,test-p03-ascending-s0,ascending,0.19825072886297376,0.28425976634025574,,5
rapg_cal_dc,5,test-p03-ascending-s0,ascending,0.20116618075801748,0.27353760600090027,,5
uniform,5,test-p03-descending-s0,descending,0.20699708454810495,0.2607911229133606,,5
late,5,test-p03-descending-s0,descending,0.19825072886297376,0.27107396721839905,,5
rapg_cal_dc,5,test-p03-descending-s0,descending,0.2046783625730994,0.2593095600605011,,5
uniform,5,test-p03-alternating-s0,alternating,0.38461538461538464,0.454993337392807,,5
late,5,test-p03-alternating-s0,alternating,0.37,0.4636958837509155,,5
rapg_cal_dc,5,test-p03-alternating-s0,alternating,0.36789297658862874,0.4513760805130005,,5
uniform,5,test-p03-pedal-s0,pedal,0.4139941690962099,0.4876987040042877,,5
