trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
dev-p00-ascending-s0,sao,dev,0,ascending,0,0.18518518518518517,0.7848837209302325,0.25,0.3001851737499237,0.1522645801305771,0.05,0,-1,-1,0.0,3.3676140308380127,6.047781467437744
dev-p00-ascending-s0,early,dev,0,ascending,0,0.18571428571428572,0.813953488372093,0.17567567567567569,0.4074496030807495,0.12515835464000702,0.0,15,0,14,0.5,3.18196702003479,6.053064346313477
dev-p00-ascending-s1,sao,dev,0,ascending,1,0.0,0.8837209302325582,0.1506849315068493,0.21203897893428802,0.19955521821975708,0.0,0,-1,-1,0.0,3.137474298477173,6.058801651000977
dev-p00-ascending-s1,early,dev,0,ascending,1,0.4,0.9883720930232558,0.4,0.4230780601501465,0.13031558692455292,0.1411764705882353,15,0,14,0.5,3.1764049530029297,6.064538955688477
dev-p00-descending-s0,sao,dev,0,descending,0,0.0,0.7848837209302325,0.016666666666666666,0.2963097095489502,0.1522645801305771,0.05,0,-1,-1,0.0,3.1476008892059326,6.058801651000977
dev-p00-descending-s0,early,dev,0,descending,0,0.2598187311178248,0.9622093023255814,0.24705882352941178,0.393039345741272,0.12379394471645355,0.24705882352941178,15,0,14,0.5,3.1745471954345703,6.064050674438477
dev-p00-descending-s1,sao,dev,0,descending,1,0.1513157894736842,0.8837209302325582,0.0136986301369863,0.3056850731372833,0.19955521821975708,0.0,0,-1,-1,0.0,3.1497063636779785,6.070276260375977
dev-p00-descending-s1,early,dev,0,descending,1,0.43492063492063493,0.9156976744186046,0.4268292682926829,0.4691615402698517,0.11767587065696716,0.12195121951219512,15,0,14,0.5,3.2229373455047607,6.064538955688477
dev-p00-alternating-s0,sao,dev,0,alternating,0,0.03404255319148936,0.7807308970099668,0.018518518518518517,0.2924724519252777,0.1522645801305771,0.05555555555555555,0,-1,-1,0.0,3.311633825302124,6.046838760375977
dev-p00-alternating-s0,early,dev,0,alternating,0,0.16996047430830039,0.840531561461794,0.16666666666666666,0.38272014260292053,0.06627251952886581,0.013888888888888888,15,0,14,0.5,3.205970525741577,6.052576065063477
dev-p00-alternating-s1,sao,dev,0,alternating,1,0.2988505747126437,0.867109634551495,0.14516129032258066,0.4581725001335144,0.19955521821975708,0.0,0,-1,-1,0.0,3.205848217010498,6.058801651000977
dev-p00-alternating-s1,early,dev,0,alternating,1,0.132,0.8305647840531561,0.0,0.41966119408607483,0.20004737377166748,0.0,15,0,14,0.5,3.2317135334014893,6.064538955688477
dev-p00-pedal-s0,sao,dev,0,pedal,0,0.05925925925925926,0.7848837209302325,0.06666666666666667,0.32364240288734436,0.1522645801305771,0.06666666666666667,0,-1,-1,0.0,3.1894116401672363,6.069787979125977
dev-p00-pedal-s0,early,dev,0,pedal,0,0.8078291814946619,0.8168604651162791,0.7808219178082192,0.5639996528625488,0.10345583409070969,0.2054794520547945,15,0,14,0.5,3.226078510284424,6.058801651000977
dev-p00-pedal-s1,sao,dev,0,pedal,1,0.0,0.8837209302325582,0.0,0.32012057304382324,0.19955521821975708,0.0,0,-1,-1,0.0,3.198995351791382,6.064538955688477
dev-p00-pedal-s1,early,dev,0,pedal,1,0.3872053872053872,0.8633720930232558,0.4,0.46488380432128906,0.13003206253051758,0.05333333333333334,15,0,14,0.5,3.2221333980560303,6.069787979125977
dev-p00-zigzag-s0,sao,dev,0,zigzag,0,0.06666666666666667,0.7848837209302325,0.06666666666666667,0.3548204302787781,0.1522645801305771,0.05,0,-1,-1,0.0,3.1906843185424805,6.064050674438477
dev-p00-zigzag-s0,early,dev,0,zigzag,0,0.31845238095238093,0.9767441860465116,0.32941176470588235,0.41219937801361084,0.13473187386989594,0.3411764705882353,15,0,14,0.5,3.218010902404785,6.070276260375977
dev-p00-zigzag-s1,sao,dev,0,zigzag,1,0.09539473684210527,0.8837209302325582,0.0,0.3181476593017578,0.19955521821975708,0.0,0,-1,-1,0.0,3.196293354034424,6.076013565063477
dev-p00-zigzag-s1,early,dev,0,zigzag,1,0.40809968847352024,0.9331395348837209,0.38271604938271603,0.4289582371711731,0.12108402699232101,0.25925925925925924,15,0,14,0.5,3.232057809829712,6.069787979125977
